Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
1641,"55.   Which of the following includes mortality rate in it?

[PGI 1998, UP 2004, Recent Question 2012]",TFR,GFR,NRR,GRR,,,
1642,"56.   Children  borne  by  female  at  the  end  of  reproductive  
[Recent Question 2013]

period is:",TFR,NRR,CBR,GFR,,,
1643,57.   What is net reproduction rate?,No. of children a newborn girl has in her left time,"No. of female children a newborn girl has in her life 

[Recent Question 2013, 2015]

time","No.  of  male  children  a  newborn  girl  has  in  her  life 

time","No. of female children a newborn girl has in her life 

time taking into account mortality",,,
1644,"58.   Average number of girls that would be born to a woman 
if she experiences the current fertility pattern through-
out  her  reproductive  span  assuming  no  mortality’  is 
known as 
[PGMCET 2015]",General Fertility Rate,Total Fertility Rate,Gross Reproduction Rate,"Net Reproduction Rate

Review Questions",,,
1645,"59.   General fertility rate: 

[Recent Question 2013, Bihar 2003, UP 2004]","It is the number of live births per 1000 women in the 

reproductive age group in a given year",It is a better measure of fertility than crude birth rate,"The  major  weakness  of  this  rate  is  that  not 
all  women in the denominator are exposed to the  
risk of child birth",All of the above,,,
1646,"60.   Best indicator of fertility: 

[Kolkata 2003]",CBR,TFR,NRR,"GRR

MISCELLANEOUS (DEMOGRAPHY)",,,
1647,61.   Births in India must be registered within:,7 days,14 days,21 days,"1 month

[AIPGME 1994]",,,
1648,"62.   A community has a population of 10,000 and a birth rate 
of 36 per 1000. 5 maternal deaths were reported in the 
current year. The MMR is:  
[AIPGME 01]",14.5,13.8,20,"5

mebooksfree.com

509

Demography, Family Planning and ContraceptionDemography, Family Planning and Contraception",,,
1649,63.   Census population count is in reference to:,1st March,1st July,30th June,"1st January

[AIIMS Nov 2005]",,,
1650,64.   Percentage of people below poverty line in India:,14%,22%,29%,"72%

[AIIMS May 05]",,,
1651,"65.   National  Family  Health  Survey  has  successfully 
     [AIIMS May 05]

completed:",One rounds,Two rounds,Three rounds,Four rounds,,,
1652,"66.   The  age  and  sex  structure  of  a  population  may  be 
[AIIMS Nov 03, AIIMS May 05]   

described by a:",Life table,Correlation coefficient,Population pyramid,Bar chart,,,
1653,"67.   In  a  town  of  36,000  people,  there  are  1200  live  births, 

and 60 infant deaths. What is the IMR?",50,25,10,"5

[AIIMS May 2001]",,,
1654,"68.   What  is  the  best  determinant  of  the  health  status  of  a 
[AIIMS May 94, 2001]

country?",CPR,IMR,MMR,CDR,,,
1655,"69.   By 2015, Indian city likely to join group of Mega cities 
[AIPGME 2002]

(Delhi, Mumbai, Kolkata) is:",Chennai,Ahmedabad,Hyderabad,Pune,,,
1656,70.	  WHO	defines	adolescent	age	between:,10-19 years of age,10-14 years of age,10-25 years of age,"9-14 years of age

 [AIPGME 2005]
[PGI November 2014]",,,
1657,"71.   Census is conducted in every ________ years in India:  
[Karnataka 2006]",25,15,10,20,,,
1658,"72.   NFHS-3 was carried out in: 

[Recent Question 2013]",1995,"2000

510",2005,2010,,,
1659,"73.   National family health survey is done every………

[DNB December 2010]",6 months,1 year,5 years,10 years,,,
1660,"74.   First disability census was done in the year:

[DNB June 2011]",1881,1951,1981,2001,,,
1661,"75.   Which is/are true for Kerala in relation to India?

[PGI May 2012]",High literacy rate,High Doctor: Population ratio,High growth rate,Older age of marriage,Higher Life expectancy,,
1662,"76.   Second National Family Health Survey was done in the 
[DNB June 2009]

year:",1992-93,1998-99,2005-2006,2008-2009,,,
1663,"77.   Sample  registration  system  done  for  both  death  and 
[DNB December 2011]
[AP 2004]

birth enumeration at every:",6 months,1 year,5 years,10 years,,,
1664,"78.   BIRADS is: 

[AIIMS November 2012]",Breast Imaging Reporting and Data System,Best Imaging Reporting and Data System,Brain Imaging Reporting and data system,Biopsy Imaging reporting and data system,,,
1665,"79.   First census in India was done in?

[Recent Question 2013]",1861,1871,1881,1891,,,
1666,"80.   True about Census of India is/are: 

[PGI May 2014]",Total population doubled from 1921 to 1971,Annual average growth rate 1.64% in 2011 census,Decadal growth rate has always been positive,Total population above 500 million in 1961,Decadal growth rate 17.64% in 2011,,
1667,81.   True regarding Census of India is/are:,Done by Ministry of Home Affairs,"Done every 5 years 

[PGI November 2014]

mebooksfree.com

Review of Preventive and Social MedicineDemography, Family Planning and Contraception",Census Commissioner is the supreme head,First started in 1851,Done at Mid-year,,
1668,"82.   A child is born to an Indian couple outside India. Birth 
[Recent Question 2014]

registration must be done:",Within 21 days,Within 21 days of arrival into India,Within 60 days,Within 60 days of arrival into India,,,
1669,"83.   State used as Yardstick-of-health in India is

[Recent Question 2015]",Tamil Nadu,Kerala,Andhra Pradesh,"Gujarat

Review Questions",,,
1670,"84.   Sex and age is presented by: 

[DNB 2001]",Pyramid,Bar diagram,Both,,,,
1671,"85.   All  are  true  regarding  Sample  Registration  System 
[UP 2005]

(SRS) except:",Initiated in the 1960,Estimates of birth and death rates,Dual-record system,Survey should be done every year,,,
1672,"86.   Which  of  the  following  year  in  the  history  of  demo-
graphy  of  India  is  India  is  known  as  the  year  of  big 
divide: 
[Recent Question 2012] [MP 2002]","1881 
[Recent Question 2014]",1921,1947,1978,,,
1673,"87.   Birth and death registration should be done within how 
[MH 2000]

many days?",14 and 7 respectively,7 and 14 respectively,7 and 21 respectively,14 and 21 respictively,,,
1674,"88.   The  system  of  collection  of  data  to  give  national  and 
subnational  estimate  of  vital  indicators  consist  of 
continuous enumeration backed by 6 months survey is:","Model registration survey 
[MH 2003]",National sample survey,Sample registration survey,National family health survey,,,
1675,"89.   Which  of  the  following  is  best  to  compare  the  vital 
statistics of countries?  [MH-PGM-CET 2007, MH 2008]",Crude death and birth rates,Age standardized death rate,Proportional mortality rate,Age specific death rate,,,
1676,"90.   Which  one  of  the  following  is  a  DUAL  RECORD 
SYSTEM consisting of continuous enumeration of birth 
and  death  by  numerator  and  which  indicates  survey 
every six months? 
[MH 2008]",Sample registration system,Civil registration system,Census,"Model registration system

FAMILY PLANNING AND CONTRACEPTION

CONCEPTS OF FAMILY PLANNING",,,
1677,"91.   A contraceptive ‘Z’ is used by 100 couples for a conti-
nuous period of 2 years. During this period 20 women 
become  pregnant  despite  using  the  contraceptive  ‘Z’. 
What is the Pearl Index of ‘Z’? 
[AIPGME 1993]",0.1 per HWY,5 per HWY,10 per HWY,1000 per HWY,,,
1678,92.	  Contraceptive	efficacy	is	measured	by:,Pearl Index only,Pearl Index and Life table analysis,Life table analysis and Couple protection rate,"Pearl Index and Couple protection rate

[AIIMS Dec 1995, Nov 2008]",,,
1679,93.   Eligible couples per 1000 population in India  is:,50 – 70,100 – 120,150 – 180,"200 – 250

[AIPGME 2002]",,,
1680,"94.   In a village with 180 eligible couples, Family Planning 

data of contraceptive methods is:  
Sterilization: Vasectomy - 3 and  Tubectomy - 8
• 
IUD users - 10
•  
•   Orals pills users - 10
•   Condom users - 29
Effective CPR in the village is:",60%,33%,25%,"10%

[AIPGME 2004]",,,
1681,"95.   Scope of Modern Concept of family planning services 
[AIPGME 03]
[AIIMS Nov 2001]

include all of the following except:",Screening for cervical cancer,Providing services for unmarried mothers,Screening for HIV infection,Providing adoption services,,,
1682,"96.   Which  of  the  following  is  important  in  calculation  of 

pearl index:",Number of abortions,Total accidental pregnancy,Socioeconomic status,"Total gestational period

mebooksfree.com

511

Demography, Family Planning and ContraceptionDemography, Family Planning and Contraception",,,
1683,"97.   Pearl Index is:

NATURAL METHODS

[Recent Question 2013, DNB December 2011, UP 2006]",Failures per 1000 women-years of exposure,Failures per 100 women-years of exposure,Failures per 10 women-years of exposure,Failures per women-years of exposure,,,
1684,"98.	  Pearl	index	is	defined	as:	

[Recent Question 2012]","Accidental  pregnancies  per  1000  women-years  of  

exposure","Accidental  pregnancies  per  100  women-years  of  

exposure","Accidental pregnancies per 10 women-years of expo-

sure","Accidental  pregnancies  per  women-years  of  expo-

sure

Review Questions",,,
1685,"99.   All parameters are used by epidemiologist in evaluation 
of	the	efficacy	of	acceptance	of	family	planning	method	
except: 
[DNB  2002]",Annual general marriage rate,Spacing between first and second child,Annual birth rate,Number of children born,,,
1686,"100.   100  women,  followed  up  for  20  months,  with  OCPs,  5 

became pregnant. Calculate the Pearl Index:",1,2,3,"4

[Bihar 2003]",,,
1687,101.   “Pearl Index” Is normally used for studying the:,Effectiveness of a contraceptive,Unmet need for family planning,"Prevention of undesired pregnancies and of  

[TN 2003]

STD in young people",Basis of women’s response to survey questions,,,
1688,102.   Population control can be achieved by:,By spacing between the pregnancies,By promoting infanticide,By prohibiting infanticide,"Securing maximum involvement of non- 

  governmental agencies

[MP 2002]",,,
1689,"103.   Pearl index is used to evaluate: 

[MP 2005]",Family planning,Contraceptive acceptance,Population control,Contraceptive failures,,,
1690,"104.   The couple protection rate (CPR) to bring within normal 
range  in  India,  which  of  the  following  contraceptive 
measure is used? 
[MH 2005]",Sterilization,IUCD,Condom,All of the above,,,
1691,105.   Natural Family Planning does not include:,Terminal methods,Basal Body Temperature Method,Cervical Mucus Method,"Symptothermic Method

[AIPGME 1994]

Review Questions",,,
1692,"106.   Which  of  the  following  Natural  method  of  contra-
[MPSC2006; MH 2008]

ception is most effective?",Calendar method,Billing method,Symptothermic method,"Basal body temperature method

BARRIER METHODS",,,
1693,"107.   Match the contraceptive and its type

Contraceptive

Type of contraceptive

A.  Vaginal Sponge

 I.    Subdermal implant

B.  Norplant 

C.  NET–EN 

 II.   Barrier Method

 III. 

IUD

D.  Grafenberg’s Ring    

IV.  Depot formulation","A - IV, B - II, C - III, D - I","A - II, B - I, C - IV, D – III","A - II, B - IV, C - I, D - III","A - III, B - II, C - I, D – IV

[AIIMS Dec 1995]",,,
1694,"108.   Barrier methods are all except: 

[UP 2006]",Diaphragm,Foam tablets,Vaginal-sponge,Lippes loop,,,
1695,"109.   TODAY, failure rate is:",0-5/100 woman years,5-10/100 women years,9-20/100 women years,"0-1/100 woman years

Review Question

[Recent Question 2012, 2013]",,,
1696,"110.   ‘Today’ – a contraceptive contains: 

[DNB 2003, 2004]",Prestaglandin F2,Norethisterone,9-Nonoxynol,"Cu releasing mesh

IUDS",,,
1697,"111.   In Cu-T 380 A, 380 represents: [AIGPME 1997, PGI 2006]",No. of turns of copper wire,"Surface area of Cu-T in sq. mm

512

mebooksfree.com

Review of Preventive and Social MedicineDemography, Family Planning and Contraception",Surface area of copper in sq. mm,Effective Life of Cu-T in quarters,,,
1698,"112.   The most common side effect of IUD insertion is:

[AIPGME 2005]",Bleeding,Pain,Pelvic infection,Ectopic pregnancy,,,
1699,"113.   All are true about Progestasert except: 

[AIPGME 2004]",Progestasert releases 65 mcg progesterone per day,Progestasert contains 38 mg progesterone,Progestasert is implanted subdermally,Progestasert is a T-shaped device,,,
1700,"114.   The most common side effect of IUD insertion, which 
[AIIMS Nov 1992, 1996]
[AIIMS Sep 1997]

requires its removal is:",Bleeding,Pain,Pelvic infection,Ectopic pregnancy,,,
1701,"115.   Characteristics  of  an  ideal  candidate  for  copper–T 

insertion include all of the following except:  

[AIIMS Nov 2005, Nov 02]",Has borne at least one child,Is willing to check IUD tail,Has a history of ectopic pregnancy,Has normal menstrual periods,,,
1702,"116.   The  following  statements  are  true  about  Intrauterine 
[AIIMS May 07]

devices (IUD) except:",Multiload Cu-375 is a third generation IUD,"The pregnancy rate of Lippes loop and Cu- T 200 are 
[AIPGME 2004]

similar","IUD can be used for Emergency  
 Contraception within 5 days","Levonorgestrel releasing IUD has an effective  

life of 10 years",,,
1703,"117.   Copper – T is preferably inserted postnatal, after:",2 weeks,4 weeks,5 weeks,"8 weeks

[Karnataka 2005]",,,
1704,"118.    Which  of  the  following  IUDs  do  not  require  to  be 
[AIPGME 2012]

changed every 3-5 years?",CuT 220 B,CuT ML-375,CuT 380 A,CuT ML-250,,,
1705,"119.   Cu T 380A IUD should be replaced once in:

[DNB 2008] [DNB June 2010]
[Recent Question 2013, UPSC CMS 2015]",4 yrs,6 yrs,8 yrs,10 yrs,,,
1706,120.   Non-medicated Intra Devices (IUDs) are called as:,3rd generation IUDs,2nd generation IUDs,1st generation IUDs,"Multi – load devices

[AP 2014]",,,
1707,"121.   IUD ‘Mirena’ release Levonorgestrel for ………. years:   
[Recent Question 2014]",3,5,7,10,,,
1708,"122.   Mechanism of action of IUD is: 

[CGPG 2015]",Prevent fertilization,Prevention ovulation,Prevent implantation,Spermicidal,,,
